name,location,market,jurisdiction,size,image_url,image_path,project_url,year_built,size_sf,cost,description,state,latitude,longitude
Haygood Elementary School,Lamar CISD,PreK-12,Lamar CISD,"487,997 SF",https://pflugerarchitects.com/wp-content/uploads/2025/05/LCISDES36entrance-768x435.jpg,images/PreK-12/Haygood_Elementary_School.jpg,https://pflugerarchitects.com/portfolio/haygood-elementary-school/,2013,487997,$130.6M,Innovative educational environment with sustainable design features.,Texas,29.5844,-95.9039
Midland and Legacy High School,Midland ISD,PreK-12,Midland ISD,"490,486 SF",https://pflugerarchitects.com/wp-content/uploads/2025/04/MIDLANDHIGHSCHOOL-768x477.jpg,images/PreK-12/Midland_and_Legacy_High_School.jpg,https://pflugerarchitects.com/portfolio/midland-and-legacy-high-school/,2013,490486,$114.0M,Contemporary campus design promoting collaboration and student engagement.,Texas,32.0174,-102.0779
Del Valle High School #2,Del Valle ISD,PreK-12,Del Valle ISD,"117,174 SF",https://pflugerarchitects.com/wp-content/uploads/2023/12/delvalle-01-768x349.jpg,images/PreK-12/Del_Valle_High_School_#2.jpg,https://pflugerarchitects.com/portfolio/del-valle-high-school-2/,2022,117174,$27.1M,A modern educational facility designed to inspire learning and creativity.,Texas,30.1833,-97.6803
San Gabriel Campus,Austin Community College,Higher Education,Austin Community College,"221,091 SF",https://pflugerarchitects.com/wp-content/uploads/2023/09/ACC-Leander-2353-768x512.jpg,images/Higher_Education/San_Gabriel_Campus.jpg,https://pflugerarchitects.com/portfolio/san-gabriel-campus/,2025,221091,$78.1M,Modern university building designed for collaborative learning and innovation.,Texas,30.2672,-97.7431
Game Development Design School,Burleson ISD,PreK-12,Burleson ISD,"356,939 SF",https://pflugerarchitects.com/wp-content/uploads/2023/02/GDDS-Int_Final-2731-768x431.jpg,images/PreK-12/Game_Development_Design_School.jpg,https://pflugerarchitects.com/portfolio/game-development-design-school/,2020,356939,$75.6M,Modern learning facility with emphasis on STEM education and community integration.,Texas,32.5421,-97.3208
Performing Arts Center,Austin ISD,PreK-12,Austin ISD,"340,479 SF",https://pflugerarchitects.com/wp-content/uploads/2023/03/Austin-PAC-Auditorium_15s-768x512.jpg,images/PreK-12/Performing_Arts_Center.jpg,https://pflugerarchitects.com/portfolio/performing-arts-center/,2022,340479,$69.2M,Innovative educational environment with sustainable design features.,Texas,30.2672,-97.7431
Hutto Ninth Grade Center,Hutto ISD,PreK-12,Hutto ISD,"371,951 SF",https://pflugerarchitects.com/wp-content/uploads/2023/02/Hutto-ISD-9th-Grade-Center-0321B-copy-768x512.jpg,images/PreK-12/Hutto_Ninth_Grade_Center.jpg,https://pflugerarchitects.com/portfolio/hutto-ninth-grade-center/,2017,371951,$100.6M,A modern educational facility designed to inspire learning and creativity.,Texas,30.5427,-97.5461
End Zone Complex at Bobcat Stadium,Texas State University,Higher Education,Texas State University,"292,119 SF",https://pflugerarchitects.com/wp-content/uploads/2023/09/TXSTENDZONE2-768x432.jpg,images/Higher_Education/End_Zone_Complex_at_Bobcat_Stadium.jpg,https://pflugerarchitects.com/portfolio/end-zone-complex-at-bobcat-stadium/,2015,292119,$97.5M,Contemporary campus facility featuring cutting-edge technology and flexible spaces.,Texas,29.8883,-97.9384
Pieper High School,Comal ISD,PreK-12,Comal ISD,"245,068 SF",https://pflugerarchitects.com/wp-content/uploads/2022/10/PHS-Ext-7-20230918-012410-768x512.jpg,images/PreK-12/Pieper_High_School.jpg,https://pflugerarchitects.com/portfolio/pieper-high-school/,2025,245068,$57.4M,A modern educational facility designed to inspire learning and creativity.,Texas,29.703,-98.1245
Southside High School,Lafayette Parish School System,PreK-12,Lafayette Parish School System,"151,763 SF",https://pflugerarchitects.com/wp-content/uploads/2023/03/Southside-HS-LA_Int-2-768x512.jpg,images/PreK-12/Southside_High_School.jpg,https://pflugerarchitects.com/portfolio/southside-high-school/,2024,151763,$32.4M,Modern learning facility with emphasis on STEM education and community integration.,Louisiana,30.2241,-92.0198
E.F. Green Junior School,Goose Creek CISD,PreK-12,Goose Creek CISD,"241,290 SF",https://pflugerarchitects.com/wp-content/uploads/2023/09/AVP_2559-768x512.jpg,images/PreK-12/E.F._Green_Junior_School.jpg,https://pflugerarchitects.com/portfolio/e-f-green-junior-school/,2017,241290,$60.8M,State-of-the-art school building featuring flexible learning spaces and advanced technology.,Texas,29.7355,-95.056
Sports Complex,Concordia University,Higher Education,Concordia University,"211,171 SF",https://pflugerarchitects.com/wp-content/uploads/2023/09/01-Noon-768x432.jpg,images/Higher_Education/Sports_Complex.jpg,https://pflugerarchitects.com/portfolio/sports-complex/,2020,211171,$61.2M,Contemporary campus facility featuring cutting-edge technology and flexible spaces.,Texas,30.3072,-97.7278
